      Size,    Bubble, Insertion, Selection,    Fusion,     Quick,      Heap
        10,       150,        69,        63,        24,        66,       155
        10,       174,        93,        69,        23,        45,       150
        10,       156,        75,        63,        24,        45,       135
        10,       132,        51,        63,        23,        72,       160
        10,       174,        93,        69,        23,        51,       135
        10,       153,        72,        69,        23,        60,       145
        10,       165,        84,        66,        24,        48,       150
        10,       159,        78,        72,        21,        42,       150
        10,       138,        57,        69,        20,        48,       165
        10,       153,        72,        60,        23,        78,       140
        10,       156,        75,        63,        23,        66,       145
        10,       171,        90,        72,        22,        51,       150
        10,       174,        93,        69,        23,        54,       145
        10,       150,        69,        63,        24,        42,       145
        10,       162,        81,        66,        24,        60,       150
        10,       168,        87,        63,        22,        54,       145
        10,       129,        48,        66,        22,        84,       155
        10,       129,        48,        66,        21,        57,       160
        10,       159,        78,        72,        24,        72,       160
        10,       210,       129,        69,        21,        57,       135
        10,       177,        96,        72,        24,        42,       150
        10,       168,        87,        72,        24,        48,       155
        10,       126,        45,        63,        21,        69,       155
        10,       174,        93,        63,        25,        45,       145
        10,       135,        54,        66,        21,       108,       150
        10,       138,        57,        66,        24,        54,       145
        10,       177,        96,        66,        23,        51,       150
        10,       144,        63,        63,        21,        66,       155
        10,       156,        75,        63,        22,        48,       155
        10,       132,        51,        63,        22,        36,       155
        10,       144,        63,        63,        23,        81,       135
        10,       162,        81,        63,        21,        81,       145
        10,       159,        78,        72,        21,        42,       150
        10,       153,        72,        60,        23,        42,       160
        10,       159,        78,        72,        22,        54,       140
        10,       135,        54,        63,        22,        87,       165
        10,       168,        87,        69,        24,        66,       155
        10,       168,        87,        63,        24,        48,       145
        10,       126,        45,        57,        22,        42,       155
        10,       150,        69,        69,        23,        45,       135
        10,       153,        72,        60,        23,        60,       150
        10,       129,        48,        66,        22,        69,       150
        10,       153,        72,        72,        21,        54,       140
        10,       144,        63,        69,        24,        78,       165
        10,       168,        87,        69,        25,        45,       145
        10,       153,        72,        66,        23,        42,       150
        10,       150,        69,        63,        25,        54,       130
        10,       138,        57,        66,        23,        42,       150
        10,       153,        72,        66,        22,        42,       140
        10,       177,        96,        66,        20,        60,       130
        10,       147,        66,        66,        20,        63,       150
        10,       144,        63,        69,        22,        48,       145
        10,       129,        48,        66,        21,        75,       165
        10,       174,        93,        63,        22,        45,       145
        10,       135,        54,        66,        20,        57,       170
        10,       174,        93,        72,        24,        36,       145
